id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13131,Green Windmill,50838,Nikos,,Θήρας (Santorini),36.45351,25.43316,Entire home/apt,280,2,7,2019-07-05,0.13,3,202
13443,Lilac Windmill Villa,50838,Nikos,,Θήρας (Santorini),36.45304,25.43263,Entire home/apt,252,2,10,2018-04-09,0.17,3,209
18416,Fantastic MykonosView Luxurious apt,70942,Zoi,,Μυκόνου (Μykonos),37.45051,25.33045,Entire home/apt,420,1,15,2019-07-29,0.24,13,365
23303,Beautiful Villa! Beautiful Views!,74288,Christina,,Κέας (Kea),37.57954,24.2757,Entire home/apt,400,5,0,,,1,358
26919,VILLA KELLY AMAZING VIEW,114902,Kostas,,Μυκόνου (Μykonos),37.48175,25.31796,Entire home/apt,370,2,68,2019-09-18,1.32,2,115
26921,IRO LUX STUDIO AMAZING VIEW,114902,Kostas,,Μυκόνου (Μykonos),37.48207,25.31675,Entire home/apt,140,3,56,2019-09-20,0.88,2,26
29210,medieval city house roof top & balcony old town,125660,Claudia,,Ρόδου (Rhodes),36.4405,28.23036,Entire home/apt,90,3,55,2019-09-27,0.56,19,333
30875,Aegeas Apartment 3,132591,Giorgos,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.09314,25.38124,Entire home/apt,70,3,12,2019-04-16,0.30,2,365
31301,SITARENA COTTAGE IN KARPATHOS GR,133185,Marianna,,Καρπάθου (Karpathos),35.48096,27.16775,Entire home/apt,48,2,28,2019-09-24,0.32,1,355
48073,Luxury apartments in Antiparos 3,219069,Christos,,Αντιπάρου (Antiparos),36.97773,25.02931,Entire home/apt,160,1,5,2019-08-26,0.10,5,82
48289,cavehouse  with caldera sunsetview,219945,Ioanna,,Θήρας (Santorini),36.46203,25.37248,Entire home/apt,170,2,176,2019-09-23,1.94,3,147
52606,"ELENI ' S HOUSE (FRY, KASOS ISLAND)",243488,Eleni,,Κάσου (Kasos),35.41975,26.91808,Entire home/apt,30,3,7,2016-08-10,0.09,1,365
54659,"Apartment for 2 people, Drios Paros - Greece",256849,Thomas,,Πάρου (Paros),37.00313,25.22246,Entire home/apt,25,3,65,2019-09-22,0.65,2,83
67246,Apartments Elefteria Pool+Garden+BBQ,331438,Margarita,,Ρόδου (Rhodes),36.2591,28.14574,Entire home/apt,95,1,5,2019-06-29,0.05,9,152
