,0
0,10395756
1,33583317
2,5834919
3,49771730
4,112577092
5,68829626
6,16472192
7,4311791
8,26558180
9,20041763
10,45616123
11,13071990
12,13030253
13,120390581
14,2145557
15,7152664
16,16068814
17,1583984
18,1709774
19,2522989
20,1473300
21,2045916
22,2252101
23,2558773
24,5285883
25,1258556
26,5040692
27,3521720
28,5107085
29,4040737
30,2311096
31,8884745
32,6231870
33,3854927
34,9470312
35,10446506
36,7382169
37,4911402
38,645767
39,12500265
40,960262
41,11639661
42,14456941
43,3674390
44,11634468
45,10083024
46,15840079
47,9125055
48,26810804
49,30810301
50,8448309
51,8783105
52,25079358
53,29804893
54,12504672
55,15283288
56,27403152
57,33778484
58,8242284
59,13115556
60,16066605
61,24635496
62,9809591
63,3673544
64,29777007
65,8367381
66,14854035
67,8687467
68,1681497
69,5535334
70,657796
71,61159333
72,28483361
73,5218749
74,28106566
75,45723825
76,12097796
77,46563788
78,55374744
79,26090309
80,19097732
81,40414743
82,16934241
83,33139045
84,8048859
85,24559983
86,60861280
87,69765129
88,27278812
89,6064136
90,11588077
91,32632694
92,10949983
93,6416658
94,15830831
95,2939178
96,59752762
97,72231088
98,7942156
99,5928564
100,85539657
101,38801907
102,6847414
103,63698268
104,88930324
105,9444827
106,120651064
107,2002001
108,17794706
109,11485577
110,6708597
111,27206095
112,32985258
113,25237476
114,120810147
115,22423578
116,6137760
117,13134556
118,95486260
119,114729320
120,124273548
121,17058587
122,76729097
123,5671122
124,129612409
125,35540639
126,62045820
127,99821479
128,25582785
129,52837980
130,13859207
131,50782150
132,45775998
133,60108448
134,53446457
135,69987755
136,103788729
137,12882863
138,63396039
139,92581463
140,157487351
141,44129728
142,57790758
143,152708302
144,170289807
145,48297416
146,59000467
147,116694703
148,40551011
149,25613101
150,18317885
151,38692609
152,52437173
153,54224892
154,128276223
155,148610229
156,98310166
157,143404492
158,27652667
159,62589022
160,138364582
161,142624858
162,41924284
163,73727314
164,68379326
165,17524475
166,59423248
167,58889965
168,25520581
169,99268064
170,54572065
171,21732624
172,30677870
173,35517014
174,34683511
175,27434966
176,19647678
177,55009955
178,58657275
179,95479858
180,67975138
181,128453112
182,214715941
183,27761368
184,13922593
185,7955290
186,46314082
187,246293120
188,52044249
189,172006060
190,65690089
191,67486987
192,21121729
193,456125
194,2333188
195,6490734
196,4874568
197,3760820
198,11492190
199,11943348
200,14138859
201,11229726
202,6795859
203,15338037
204,14504664
205,13024835
206,20435363
207,18180465
208,6018585
209,9198980
210,1109637
211,22192731
212,26202760
213,4099778
214,1619491
215,13866536
216,10674604
217,5644377
218,52898537
219,64564347
220,25254998
221,36279600
222,3422747
223,285092
224,18053161
225,95267893
226,108551178
227,61155415
228,48697625
229,40580430
230,59195272
231,3109238
232,125325794
233,120801974
234,30698584
235,5753616
236,99004350
237,66017099
238,126557499
239,121265641
240,25066666
241,67487231
242,92145942
243,7866103
244,85768697
245,114354381
246,86739836
247,78411857
248,148830847
249,686634
250,6032279
251,11025910
252,966943
253,31902183
254,14251537
255,3691474
256,19495892
257,32008647
258,1017994
259,26832533
260,25236305
261,16552260
262,2085265
263,36400041
264,1747181
265,12312494
266,34216165
267,16864953
268,35530208
269,4230695
270,31560258
271,38922693
272,10800615
273,18977760
274,10041375
275,23579416
276,71633481
277,65170178
278,75299591
279,53450458
280,12160891
281,73141318
282,6669364
283,29786954
284,3208080
285,6851700
286,108780970
287,18565752
288,60163866
289,7355031
290,49814193
291,44734647
292,81133672
293,118690205
294,78513685
295,47679578
296,133037632
297,25368559
298,128815292
299,13324060
300,90868539
301,259666259
302,759777
303,2396565
304,20046121
305,31057752
306,31545910
307,33159391
308,1692220
309,23750446
310,34133668
311,33879034
312,4210641
313,32900277
314,28145647
315,14207333
316,41662198
317,1360018
318,780350
319,16825946
320,12870547
321,2172974
322,6243170
323,16793415
324,71681128
325,23364179
326,69263917
327,12403841
328,47149261
329,32181825
330,34378482
331,30399388
332,6538577
333,22584330
334,35225755
335,21750467
336,11667599
337,47526462
338,119107703
339,56639749
340,10180211
341,53295504
342,119367492
343,122557627
344,106364095
345,146038634
346,122548616
347,1886150
348,15810475
349,2813678
350,21235849
351,31305873
352,3582670
353,5677166
354,6654282
355,30193070
356,30192169
357,30867522
358,30317747
359,9775281
360,22697114
361,9049678
362,56256941
363,35674411
364,64504872
365,52975412
366,61152096
367,125902182
368,459903
369,436488
370,1198038
371,966261
372,1143992
373,3103434
374,3069498
375,3365297
376,208536
377,3275015
378,5688795
379,3944928
380,1111145
381,7077728
382,1870124
383,2919806
384,68729999
385,55073008
386,28692876
387,25168712
388,79251884
389,118637502
390,6320242
391,24246938
392,190642796
393,190091885
394,189935978
395,170042012
396,42093426
397,48196896
398,49909666
399,70437148
400,189956336
401,101335551
402,106195168
403,79607292
404,40852189
405,1802864
406,122043508
407,7876034
408,260639213
409,10130991
410,25683851
411,30547204
412,237900074
413,114654818
414,2394299
415,73794500
416,90816370
417,94893428
418,144100878
419,172574772
420,99112794
421,73825382
422,28699574
423,72014819
424,1757571
425,481888
426,979701
427,2213462
428,1535307
429,2340882
430,2471486
431,1760293
432,2640036
433,2691165
434,3086741
435,5744708
436,3495264
437,4033607
438,6129816
439,19463143
440,20870219
441,30884473
442,35891008
443,34912219
444,36589441
445,15939607
446,29286092
447,23101993
448,35004534
449,24919504
450,28607716
451,24841687
452,37461378
453,35262773
454,31842709
455,45049434
456,21479611
457,35418984
458,57732998
459,48107901
460,67256216
461,50598708
462,45546227
463,55953001
464,10178920
465,53091181
466,45412695
467,64643782
468,53585778
469,35412296
470,9673899
471,46125485
472,24821609
473,26682733
474,37253344
475,72200981
476,46763845
477,42464223
478,29761166
479,13426712
480,40204818
481,94500360
482,114999552
483,7963477
484,102681867
485,21054155
486,89074408
487,38601594
488,15292371
489,116926984
490,34500575
491,50912473
492,112931806
493,25127531
494,74958262
495,33074473
496,113327086
497,86901035
498,25930643
499,48741311
500,67116780
501,96727167
502,23623735
503,84915719
504,111941750
505,39553617
506,137871509
507,37647654
508,12183713
509,90695800
510,140617317
511,110834173
512,86172237
513,64392655
514,121115009
515,116633872
516,82275919
517,149603726
518,150457369
519,147870427
520,67078219
521,73561466
522,51887643
523,27116624
524,102753019
525,36466966
526,140224522
527,100677264
528,24124448
529,27080892
530,43283640
531,16709350
532,12836445
533,29669697
534,175464116
535,28241493
536,72229122
537,15617952
538,48219111
539,189406546
540,564584
541,4069558
542,8342005
543,27433838
544,118952097
545,62268394
546,136173545
547,4341654
548,141550508
549,127674647
550,13109157
551,14104135
552,27865883
553,9114800
554,129623298
555,39212572
556,31668337
557,102191752
558,168529035
559,20468429
560,14192738
561,29219804
562,1717914
563,25853305
564,123589042
565,2713697
566,24587293
567,84083111
568,4271188
569,45454164
570,57332395
571,211867070
572,16801158
573,42872668
574,184188075
575,43319803
576,79301036
577,16550658
578,49193179
579,266670692
580,1230408
581,15537476
582,272743978
583,166596445
584,529675
585,1121114
586,1652396
587,2122317
588,1369575
589,1260268
590,2123728
591,2051103
592,4591762
593,5413939
594,44743639
595,120131434
596,115680547
597,5984289
598,111818211
599,45912735
600,144913576
601,20585058
602,5317147
603,19807540
604,73185777
605,188764878
606,35804857
607,38267131
608,178123849
609,17139916
610,173192461
611,129329762
612,139960
613,49190405
614,131807866
615,3960634
616,203227757
617,39128788
618,650949
619,1787540
620,14153383
621,8448776
622,15644323
623,11990523
624,25836449
625,26838150
626,27228980
627,27789640
628,11952101
629,26190203
630,8920836
631,26693904
632,24348509
633,13660960
634,31833740
635,12351153
636,62274763
637,47645854
638,19162798
639,2592635
640,15110445
641,4294690
642,13073890
643,58710810
644,37245833
645,31499896
646,43314195
647,37694091
648,9255280
649,11839245
650,59538873
651,50752357
652,21891348
653,57704727
654,66497871
655,57324490
656,99177709
657,64434551
658,41986519
659,97585908
660,20135654
661,38872633
662,111169801
663,5866892
664,54862101
665,116027645
666,15599813
667,70965136
668,55716867
669,118977927
670,175324197
671,135354263
672,12087797
673,48429826
674,5901126
675,93710546
676,94828293
677,1579832
678,183997371
679,227924534
680,23321018
681,10056271
682,7647450
683,63301441
684,26034802
685,2364126
686,131479285
687,27956963
688,22897313
689,955492
690,17233317
691,39661718
692,48264007
693,30156257
694,36139328
695,109021594
696,64172025
697,151929795
698,4233068
699,4821578
700,26851844
701,228272422
702,6921271
703,6763681
704,30993025
705,20273192
706,54756420
707,72595148
708,31727623
709,5937463
710,5236147
711,7742524
712,7781841
713,2687915
714,6195319
715,3708365
716,21415588
717,8606578
718,33470280
719,72921194
720,53303219
721,38572995
722,47088139
723,20692675
724,31311482
725,55121273
726,134557862
