,beds,guests,bedrooms,baths,bath,bedroom,bed,half-bath
https://www.airbnb.com/rooms/10000547,4,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/10003538,0,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/1000547,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/10024850,7,10,3,3,0,0,0,0
https://www.airbnb.com/rooms/10047099,2,5,2,2,0,0,0,0
https://www.airbnb.com/rooms/10081429,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/1010956,5,10,4,4,0,0,0,0
https://www.airbnb.com/rooms/10111131,4,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/1014082,0,4,0,1.5,0,1,0,0
https://www.airbnb.com/rooms/1019829,3,3,0,1.5,0,1,0,0
https://www.airbnb.com/rooms/10202901,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/10276854,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/10276909,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/1027877,0,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/10310782,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/10324691,0,3,0,1.5,0,1,1,0
https://www.airbnb.com/rooms/10411100,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/10416318,4,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/10446199,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/10460222,2,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/10503913,4,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/10538449,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/10567876,3,8,3,3,0,0,0,0
https://www.airbnb.com/rooms/10589075,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/10609899,3,8,3,2,0,0,0,0
https://www.airbnb.com/rooms/10609909,4,6,2,2.5,0,0,0,0
https://www.airbnb.com/rooms/10612032,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/10612183,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/10699356,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/10741056,2,2,0,0,0,1,0,0
